Letter	 /	 Frequency	 /	 Percentage
a	 /	 389		 /	 7.66
b	 /	 94		 /	 1.85
c	 /	 7		 /	 0.14
d	 /	 4		 /	 0.08
e	 /	 38		 /	 0.75
f	 /	 303		 /	 5.97
g	 /	 167		 /	 3.29
h	 /	 125		 /	 2.46
i	 /	 445		 /	 8.76
j	 /	 112		 /	 2.21
k	 /	 415		 /	 8.17
l	 /	 10		 /	 0.20
m	 /	 50		 /	 0.98
n	 /	 152		 /	 2.99
o	 /	 130		 /	 2.56
p	 /	 85		 /	 1.67
q	 /	 233		 /	 4.59
r	 /	 79		 /	 1.56
s	 /	 233		 /	 4.59
t	 /	 82		 /	 1.61
u	 /	 5		 /	 0.10
v	 /	 179		 /	 3.53
w	 /	 360		 /	 7.09
x	 /	 324		 /	 6.38
y	 /	 373		 /	 7.35
z	 /	 684		 /	 13.47
