Letter	 /	 Frequency	 /	 Percentage
a	 /	 535		 /	 7.72
b	 /	 108		 /	 1.56
c	 /	 176		 /	 2.54
d	 /	 245		 /	 3.53
e	 /	 867		 /	 12.50
f	 /	 218		 /	 3.14
g	 /	 169		 /	 2.44
h	 /	 361		 /	 5.21
i	 /	 531		 /	 7.66
j	 /	 20		 /	 0.29
k	 /	 51		 /	 0.74
l	 /	 330		 /	 4.76
m	 /	 185		 /	 2.67
n	 /	 465		 /	 6.71
o	 /	 583		 /	 8.41
p	 /	 96		 /	 1.38
q	 /	 6		 /	 0.09
r	 /	 409		 /	 5.90
s	 /	 404		 /	 5.83
t	 /	 653		 /	 9.42
u	 /	 173		 /	 2.49
v	 /	 77		 /	 1.11
w	 /	 150		 /	 2.16
x	 /	 5		 /	 0.07
y	 /	 112		 /	 1.62
z	 /	 5		 /	 0.07
